discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_full_name,country_name,country_code,country_3_letter_code
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Stefania CONSTANTINI,Italy,IT,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Amos MOSANER,Italy,IT,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Kristin SKASLIEN,Norway,NO,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Magnus NEDREGOTTEN,Norway,NO,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Almida DE VAL,Sweden,SE,SWE
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Oskar ERIKSSON,Sweden,SE,SWE
Curling,beijing-2022,Women,Women,GOLD,GameTeam,,Great Britain,GB,GBR
Curling,beijing-2022,Women,Women,SILVER,GameTeam,,Japan,JP,JPN
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,,Sweden,SE,SWE
Curling,beijing-2022,Men,Men,GOLD,GameTeam,,Sweden,SE,SWE
Curling,beijing-2022,Men,Men,SILVER,GameTeam,,Great Britain,GB,GBR
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,Mikael KINGSBURY,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,Walter WALLBERG,Sweden,SE,SWE
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,Ikuma HORISHIMA,Japan,JP,JPN
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,Nico PORTEOUS,New Zealand,NZ,NZL
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,David WISE,United States of America,US,USA
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,Alex FERREIRA,United States of America,US,USA
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,Henrik HARLAUT,Sweden,SE,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,Birk RUUD,Norway,NO,NOR
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,Colby STEVENSON,United States of America,US,USA
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,Sergey RIDZIK,ROC,ROC,ROC
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,Alex FIVA,Switzerland,CH,SUI
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,Ryan REGEZ,Switzerland,CH,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,Mathilde GREMAUD,Switzerland,CH,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,Ailing Eileen GU,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,Tess LEDEUX,France,FR,FRA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,Jaelin KAUF,United States of America,US,USA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,Jakara ANTHONY,Australia,AU,AUS
Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,Anastasiia SMIRNOVA,ROC,ROC,ROC
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,,United States of America,US,USA
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,Marielle THOMPSON,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,Sandra NAESLUND,Sweden,SE,SWE
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,Daniela MAIER,Germany,DE,GER
Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,Ilia BUROV,ROC,ROC,ROC
Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,Guangpu QI,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,Oleksandr ABRAMENKO,Ukraine,UA,UKR
Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,Hanna HUSKOVA,Belarus,BY,BLR
