athlete_full_name,games_participations,first_game,athlete_year_birth
Cooper WOODS-TOPALOVIC,1,Beijing 2022,2000
Dylan WALCZYK,1,Beijing 2022,1993
Olli PENTTALA,1,Beijing 2022,1995
Dmitriy REIKHERD,1,Beijing 2022,1989
Laurent DUMAIS,1,Beijing 2022,1996
Kosuke SUGIMOTO,1,Beijing 2022,1994
Severi VIERELA,1,Beijing 2022,2001
Marco TADE,1,Beijing 2022,1995
William FENELEY,1,Beijing 2022,1999
So MATSUDA,1,Beijing 2022,1999
Yang ZHAO,1,Beijing 2022,1992
Cole MCDONALD,1,Beijing 2022,2003
Nick PAGE,1,Beijing 2022,2002
Nikita NOVITSKII,1,Beijing 2022,2000
Nikita ANDREEV,1,Beijing 2022,2004
Oskar ELOFSSON,1,Beijing 2022,1998
Seung Hun LEE,1,Beijing 2022,2005
Brendan MACKAY,1,Beijing 2022,1997
Ben HARRINGTON,1,Beijing 2022,2001
Jingbo SUN,1,Beijing 2022,2003
Gustav LEGNAVSKY,1,Beijing 2022,2005
Haizhuo WANG,1,Beijing 2022,2003
Binghan HE,1,Beijing 2022,2003
Birk IRVING,1,Beijing 2022,1999
Simon D ARTOIS,1,Beijing 2022,1992
Jon SALLINEN,1,Beijing 2022,2000
Edouard THERRIAULT,1,Beijing 2022,2003
Matej SVANCER,1,Beijing 2022,2004
Colin WILI,1,Beijing 2022,1998
Hugo BURVALL,1,Beijing 2022,1997
Leonardo DONAGGIO,1,Beijing 2022,2003
Birk RUUD,1,Beijing 2022,2000
Mac FOREHAND,1,Beijing 2022,2001
Thibault MAGNIN,1,Beijing 2022,2000
Kim GUBSER,1,Beijing 2022,2000
Max MOFFATT,1,Beijing 2022,1998
Javier LLISO,1,Beijing 2022,1997
Colby STEVENSON,1,Beijing 2022,1997
Simo PELTOLA,1,Beijing 2022,2001
Ben BARCLAY,1,Beijing 2022,2002
Tormod FROSTAD,1,Beijing 2022,2002
Daniel BACHER,1,Beijing 2022,2004
Jinbo HE,1,Beijing 2022,2005
Bastien MIDOL,1,Beijing 2022,1990
Johannes ROHRWECK,1,Beijing 2022,1990
David MOBAERG,1,Beijing 2022,1999
Niklas BACHSLEITNER,1,Beijing 2022,1996
Kirill SYSOEV,1,Beijing 2022,2001
Ollie DAVIES,1,Beijing 2022,1997
Ryo SUGAI,1,Beijing 2022,1991
Tristan TAKATS,1,Beijing 2022,1995
Satoshi FURUNO,1,Beijing 2022,1999
Jared SCHMIDT,1,Beijing 2022,1997
Elliott BARALO,1,Beijing 2022,1998
Ryan REGEZ,1,Beijing 2022,1993
Simone DEROMEDIS,1,Beijing 2022,2000
Reece HOWDEN,1,Beijing 2022,1998
Romain DETRAZ,1,Beijing 2022,1993
Tyler WALLASCH,1,Beijing 2022,1994
Joos BERRY,1,Beijing 2022,1990
Tobias MUELLER,1,Beijing 2022,1992
Megan OLDHAM,1,Beijing 2022,2001
Anni KARAVA,1,Beijing 2022,2000
Ailing Eileen GU,1,Beijing 2022,2003
Ksenia ORLOVA,1,Beijing 2022,2005
Kelly SILDARU,1,Beijing 2022,2002
Margaux HACKETT,1,Beijing 2022,1999
Shuorui YANG,1,Beijing 2022,2004
Laura WALLNER,1,Beijing 2022,1998
