athlete_full_name,COUNT(medal_type)
team,246
"marte olsbu roeiseland",4
"alexander bolshunov",4
"ailing eileen gu",3
"suzanne schulting",3
"quentin fillon maillet",3
"johannes thingnes boe",3
"johannes hoesflot klaebo",3
"iivo niskanen",3
"therese johaug",3
"miho takagi",3
"irene schouten",3
"vitalina batsarashkina",3
"lisa carrington",3
"sifan hassan",3
"katie ledecky",3
"ariarne titmus",3
"emma mckeon",3
"caeleb dressel",3
"mathilde gremaud",2
"arianna fontana",2
"steven dubois",2
"shaoang liu",2
"minjeong choi",2
"lindsey jacobellis",2
"omar visintin",2
"eliot grondin",2
"meryeta odine",2
"zoi sadowski synnott",2
"max parrot",2
"yiming su",2
"ryoyu kobayashi",2
"tarjei boe",2
"tiril eckhoff",2
"elvira oeberg",2
"johannes strolz",2
"matthias mayer",2
"michelle gisin",2
"lara gut - behrami",2
"aleksander aamodt kilde",2
"federica brignone",2
"wendy holdener",2
"maja dahlqvist",2
"jessica diggins",2
"jonna sundling",2
"natalia nepryaeva",2
"alexander terentev",2
"kerttu niskanen",2
"thomas krol",2
"francesca lollobrigida",2
"patrick roest",2
"nils van der poel",2
"isabelle weidemann",2
"joergen graabak",2
"elana meyers taylor",2
"alessandra perilli",2
"yulia karimova",2
"nina christen",2
"sergey kamenskiy",2
"haoran yang",2
"qian yang",2
"ranxin jiang",2
"wei pang",2
"zongyuan wang",2
"siyi xie",2
"tingmao shi",2
"han wang",2
"thomas daley",2
"yuan cao",2
"yuxi chen",2
"laurence vincent-lapointe",2
"liudmyla luzan",2
"hao liu",2
"emma jorgensen",2
"annemiek van vleuten",2
"mima ito",2
"jessica fox",2
"gregorio paltrinieri",2
"florian wellbrock",2
"matthew walls",2
"harrie lavreysen",2
"belinda bencic",2
"rebeca andrade",2
"nikita nagornyy",2
"daiki hashimoto",2
"ruoteng xiao",2
"angelina melnikova",2
"sunisa lee",2
"san an",2
"andre de grasse",2
"elaine thompson-herah",2
"joshua kiprui cheptegei",2
"lilly king",2
"tatjana schoenmaker",2
"arno kamminga",2
"yufei zhang",2
"hali flickinger",2
"regan smith",2
"kaylee mckeown",2
"kylie masse",2
"kristof kristof milak",2
"yui ohashi",2
"kliment kolesnikov",2
"duncan scott",2
"evgeny rylov",2
"ryan murphy",2
"siobhan bernadette haughey",2
"mykhailo romanchuk",2
"robert finke",2
"stefania constantini",1
"amos mosaner",1
"kristin skaslien",1
"magnus nedregotten",1
"almida de val",1
"oskar eriksson",1
"mikael kingsbury",1
"walter wallberg",1
"ikuma horishima",1
"nico porteous",1
"david wise",1
"alex ferreira",1
"henrik harlaut",1
"birk ruud",1
"colby stevenson",1
"sergey ridzik",1
"alex fiva",1
"ryan regez",1
"tess ledeux",1
"jaelin kauf",1
"jakara anthony",1
"anastasiia smirnova",1
"marielle thompson",1
"sandra naeslund",1
"daniela maier",1
"ilia burov",1
"guangpu qi",1
"oleksandr abramenko",1
"hanna huskova",1
"mengtao xu",1
"megan nick",1
"cassie sharpe",1
"rachel karker",1
"kelly sildaru",1
"nicholas goepper",1
"jesper tjader",1
"alexander hall",1
"kim boutin",1
"konstantin ivliev",1
"semen elistratov",1
"daeheon hwang",1
"ziwei ren",1
"wenlong li",1
"hanne desmet",1
"queralt castellet",1
"sena tomita",1
"chloe kim",1
"nick baumgartner",1
"michela moioli",1
"chloe trespeuch",1
"tim mastnak",1
"benjamin karl",1
"vic wild",1
"kokomo murase",1
"anna gasser",1
"alessandro haemmerle",1
"mark mcmorris",1
"jan scherrer",1
"ayumu hirano",1
"scotty james",1
"tess coady",1
"julia marino",1
"daniela ulbing",1
"ester ledecka",1
"gloria kotnik",1
"mons roisland",1
"marius lindvik",1
"karl geiger",1
"katharina althaus",1
"ursa bogataj",1
"nika kriznar",1
"dawid kubacki",1
"manuel fettner",1
"mark kondratiuk",1
"kamila valieva",1
"wenjing sui",1
"cong han",1
"evgenia tarasova",1
"vladimir morozov",1
"anastasia mishina",1
"aleksandr galliamov",1
"gabriella papadakis",1
"guillaume cizeron",1
"victoria sinitsina",1
"nikita katsalapov",1
"madison hubbell",1
"zachary donohue",1
"anna shcherbakova",1
"alexandra trusova",1
"kaori sakamoto",1
"shoma uno",1
"nathan chen",1
"yuma kagiyama",1
"tobias wendl",1
"tobias arlt",1
"toni eggert",1
"sascha benecken",1
"thomas steu",1
"lorenz koller",1
"wolfgang kindl",1
"johannes ludwig",1
"dominik fischnaller",1
"anna berreiter",1
"tatyana ivanova",1
"natalie geisenberger",1
"eduard latypov",1
"justine braisaz",1
"dorothea wierer",1
"martin ponsiluoma",1
"vetle sjaastad christiansen",1
"anton smolski",1
"denise herrmann",1
"anais chevalier",1
"clement noel",1
"sebastian foss-solevaag",1
"beat feuz",1
"johan clarey",1
"mirjam puchner",1
"ryan cochran-siegle",1
"corinne suter",1
"sofia goggia",1
"nadia delago",1
"james crawford",1
"mathieu faivre",1
"zan kranjec",1
"marco odermatt",1
"sara hector",1
"petra vlhova",1
"katharina liensberger",1
"jackie narracott",1
"hannah neise",1
"kimberley bos",1
"axel jungk",1
"wengang yan",1
"christopher grotheer",1
"katharina hennig",1
"victoria carl",1
"yulia stupak",1
"erik valnes",1
"joni maeki",1
"denis spitsov",1
"teresa stadlober",1
"krista parmakoski",1
"ivan yakimushkin",1
"simen hegstad krueger",1
"federico pellegrino",1
"min seok kim",1
"kjeld nuis",1
"jutta leerdam",1
"brittany bowe",1
"laurent dubreuil",1
"havard lorentzen",1
"ivanie blondin",1
"hallgeir engebraaten",1
"martina sablikova",1
"davide ghiotto",1
"jaewon chung",1
"bart swings",1
"seung hoon lee",1
"antoinette de jong",1
"ireen wãœst",1
"erin jackson",1
"angelina golikova",1
"tingyu gao",1
"min kyu cha",1
"wataru morishige",1
"vinzenz geiger",1
"lukas greiderer",1
"akito watabe",1
"jens luraas oftebro",1
"christine de bruin",1
"kaillie humphries",1
"francesco friedrich",1
"thorsten margis",1
"johannes lochner",1
"florian bauer",1
"christoph hafer",1
"matthias sommer",1
"laura nolte",1
"deborah levi",1
"mariama jamanka",1
"alexandra burghardt",1
"sylvia hoffman",1
"fatima galvez",1
"alberto fernandez",1
"gian marco berti",1
"madelynn ann bernau",1
"brian burrows",1
"yulia zykova",1
"milenko sebic",1
"changhong zhang",1
"jean quiquampoix",1
"leuris pupo",1
"yuehong li",1
"lihao sheng",1
"william shaner",1
"anastasiia galashina",1
"jiri liptak",1
"david kostelecky",1
"matthew john coward holley",1
"diana bacosi",1
"meng wei",1
"amber english",1
"zuzana stefecekova",1
"kayle browning",1
"antoaneta boneva",1
"mary carolynn tucker",1
"lucas kozeniesky",1
"jiaruixuan xiao",1
"minjung kim",1
"damir mikec",1
"javad foroughi",1
"artem chernousov",1
"olena kostevych",1
"oleh omelchuk",1
"abdullah alrashidi",1
"vincent hancock",1
"jesper hansen",1
"andrew capobianco",1
"mike hixon",1
"patrick hausding",1
"lars rudiger",1
"jennifer abel",1
"melissa citrini beaulieu",1
"lena hentschel",1
