athlete_full_name,athlete_year_birth
"alysa liu",2008
"anezka indrackova",2006
"kamila valieva",2006
"anastasiia shabotova",2006
"alexandra glazkova",2006
"chaeun lee",2006
"estere volfa",2005
"hanna zieba",2005
"ieva dainyte",2005
"gwyneth ten raa",2005
"valentino guseli",2005
"eseniia pantiukhova",2005
"jinbo he",2005
"daeun kim",2005
"lindsay van zundert",2005
"qingyue peng",2005
"seung hun lee",2005
"brooke dhondt",2005
"ksenia orlova",2005
"anastassiya gorodko",2005
"gustav legnavsky",2005
"angelina muradyan",2004
"klara ulrichova",2004
"shuorui yang",2004
"zrinka ljutic",2004
"anna shcherbakova",2004
"he feng",2004
"olivia asselin",2004
"kirsty muir",2004
"aruwin salehhuddin",2004
"olessya graur",2004
"danil vassilyev",2004
"nikita andreev",2004
"gabija sinkunaite",2004
"anastasiya andryianava",2004
"mana kawabe",2004
"anri kawamura",2004
"mitsuki ono",2004
"kiana kryeziu",2004
"anton korchuk",2004
"jordan stolz",2004
"matej svancer",2004
"nahiara diaz gonzalez",2004
"kamilla kozuback",2004
"evy poppe",2004
"yiming su",2004
"kokomo murase",2004
"melissa peperkamp",2004
"hau tsuen adrian yung",2004
"william c. flaherty",2004
"alexandria loutitt",2004
"daniel bacher",2004
"eduarda ribera",2004
"hanna faulhaber",2004
"tena hadzic",2004
"egle savickaite",2004
"miha fontaine",2004
"emile nadeau",2004
"young you",2004
"alexandra trusova",2004
"kai owens",2004
"tianyi zhang",2004
"yuhuan ding",2003
"mathieu neumuller",2003
"momoka horikawa",2003
"yuma kagiyama",2003
"andrei mozalev",2003
"josie baff",2003
"cole mcdonald",2003
"mark kondratiuk",2003
"na-yoon lee",2003
"jingbo sun",2003
"haizhuo wang",2003
"binghan he",2003
"iacopo bortolas",2003
"tessa maud",2003
"edouard therriault",2003
"leonardo donaggio",2003
"ozlem ceren dursun",2003
"dusty henricksen",2003
"liam gill",2003
"olga mikutina",2003
"madeline schizas",2003
"nefeli tita",2003
"zoe atkin",2003
"kaila kuhn",2003
"viktoriia lazarenko",2003
"anna derugo",2003
"michal niewinski",2003
"fanghui li",2003
"eva-lotta kiibus",2003
"ekaterina ryabova",2003
"viktoriia safonova",2003
"yelim kim",2003
"rosa pohjolainen",2003
"noa szollos",2003
"florence brunelle",2003
"shogo miyata",2003
"thea minyan bjoerseth",2003
"rebeka jancova",2003
"sherzod khashyrbayev",2003
"chutong zhang",2003
"hongyun ran",2003
"sofia nadyrshina",2003
"emma aicher",2003
"samanta krampe",2003
"danil sadreev",2003
"tsubaki miki",2003
"cirenzhandui ",2003
"ailing eileen gu",2003
"zuzana maderova",2003
"denni xhepa",2003
"aleksandar grbovic",2003
"yulianna tunytska",2003
"hugo hinckfuss",2003
"alexandra troitskaya",2003
"natalie corless",2003
"courtney rummel",2003
"bianca gisler",2003
"ziyang wang",2003
"lora hristova",2003
"polina chudinova",2002
"audrey alice king",2002
"sabrina cass",2002
"hanna aronsson elfman",2002
"sarah escobar",2002
"esma alic",2002
"alexandra baer",2002
"mida fah jaiman",2002
"anastasiia prytkova",2002
"annika morgan",2002
"vanina guerillot",2002
"flavie aumond",2002
"josephine pagnier",2002
"irma makhinia",2002
"abi harrigan",2002
"emilia aramburo",2002
"zita toth",2002
"jessica malsiner",2002
"barbora novakova",2002
"ekaterina kurakova",2002
"alexandra feigin",2002
"yi zhu",2002
"viktoria cernanska",2002
"anastasiia gubanova",2002
"furkan akar",2002
"anna vostrikova",2002
